,transport,traffic,roads,railway,poi,places,landuse,building,city,city_code,longitude,latitude
336,3.0,2.0,523.0,1e-06,97.0,8.0,140.0,169.0,铁门关市,659006,85.63722958,41.79844611
337,3.0,5.0,459.0,15.0,107.0,27.0,270.0,88.0,图木舒克市,659003,79.16129407,39.86972663
338,61.0,42.0,4264.0,710.0,351.0,527.0,793.0,1100.0,吐鲁番市,650400,89.82962783,42.38781724
339,372.0,168.0,12181.0,1385.0,989.0,393.0,2156.0,19416.0,乌鲁木齐市,650100,87.78095236,43.73150711
340,1e-06,1.0,404.0,1e-06,9.0,14.0,29.0,208.0,五家渠市,659004,87.55452236,44.36074215
341,40.0,111.0,14935.0,661.0,316.0,614.0,2097.0,12087.0,伊犁哈萨克自治州,654000,82.12384007,43.44638579
342,45.0,86.0,7589.0,1e-06,560.0,329.0,402.0,805.0,保山市,530500,98.97171094,24.97631107
343,68.0,175.0,10422.0,1103.0,141.0,598.0,722.0,1122.0,楚雄彝族自治州,532300,101.5680903,25.35205656
344,249.0,231.0,22830.0,673.0,3230.0,2549.0,1213.0,1845.0,大理白族自治州,532900,100.0391885,25.72801376
345,30.0,76.0,14310.0,1e-06,196.0,430.0,999.0,2382.0,德宏傣族景颇族自治州,533100,98.0849017,24.55904175
346,82.0,48.0,3929.0,1.0,909.0,444.0,387.0,669.0,迪庆藏族自治州,533400,99.43991782,27.95674408
347,208.0,113.0,11012.0,745.0,461.0,801.0,2033.0,1043.0,红河哈尼族彝族自治州,532500,103.03501779999999,23.43992745
348,750.0,369.0,26013.0,3009.0,2236.0,620.0,2697.0,4342.0,昆明市,530100,102.8727812,25.38683915
349,702.0,187.0,15174.0,79.0,742.0,4893.0,3677.0,19332.0,丽江市,530700,100.523957,26.94064927
350,28.0,102.0,5901.0,77.0,59.0,295.0,588.0,1158.0,临沧市,530900,99.67293182,23.93912954
351,12.0,7.0,1547.0,1e-06,80.0,258.0,324.0,397.0,怒江傈僳族自治州,533300,98.86955743,26.95909062
352,31.0,113.0,9030.0,150.0,213.0,378.0,1422.0,832.0,普洱市,530800,100.72021109999999,23.18638245
353,61.0,214.0,9713.0,1231.0,231.0,651.0,1930.0,1258.0,曲靖市,530300,103.9377706,25.7037554
354,31.0,103.0,9140.0,220.0,91.0,1311.0,1166.0,1253.0,文山壮族苗族自治州,532600,104.7136043,23.68968811
355,49.0,102.0,6406.0,201.0,262.0,324.0,741.0,3004.0,西双版纳傣族自治州,532800,100.9428653,21.93173858
356,38.0,152.0,7989.0,602.0,202.0,497.0,728.0,1512.0,玉溪市,530400,102.2020078,24.13966474
357,47.0,132.0,11537.0,363.0,65.0,660.0,1529.0,1523.0,昭通市,530600,104.00202990000001,27.65344012
358,4168.0,810.0,71268.0,4171.0,4778.0,4743.0,13957.0,48901.0,杭州市,330100,119.4708146,29.89986219
359,93.0,107.0,11228.0,401.0,250.0,264.0,1121.0,5822.0,湖州市,330500,119.8687764,30.74481198
360,260.0,205.0,31816.0,572.0,412.0,1302.0,1737.0,8001.0,嘉兴市,330400,120.7790269,30.62192563
361,246.0,208.0,24011.0,893.0,469.0,1086.0,3776.0,13742.0,金华市,330700,119.9522159,29.11710724
362,36.0,65.0,10825.0,567.0,213.0,1076.0,1815.0,1058.0,丽水市,331100,119.51202749999999,28.19927708
363,451.0,476.0,32876.0,802.0,1473.0,1003.0,2994.0,7980.0,宁波市,330200,121.4789837,29.73047805
364,115.0,557.0,37362.0,483.0,470.0,10267.0,6094.0,25850.0,衢州市,330800,118.6745398,28.93436702
365,118.0,122.0,16550.0,499.0,150.0,418.0,2459.0,2892.0,绍兴市,330600,120.63656040000001,29.734607699999998
366,80.0,233.0,22475.0,363.0,294.0,849.0,2753.0,18480.0,台州市,331000,121.1372207,28.75727043
367,198.0,294.0,36417.0,704.0,270.0,439.0,2908.0,5487.0,温州市,330300,120.46440630000001,27.89566818
368,47.0,183.0,5027.0,1e-06,182.0,157.0,1740.0,2594.0,舟山市,330900,122.18206740000001,30.1180369
369,1140.0,1537.0,98903.0,5759.0,1479.0,3073.0,13440.0,23735.0,重庆市,500000,107.87444599999999,30.05717028
