开始城市,结束城市,实际迁徙指数
南昌,抚州,106.42888888888888
南昌,新余,17.26777777777778
南昌,景德镇,30.45333333333332
南昌,萍乡,10.972777777777777
南昌,赣州,25.328333333333344
南昌,鹰潭,23.144166666666663
南通,上海,397.61444444444453
南通,南京,46.5925
南通,常州,29.567499999999992
南通,扬州,22.831944444444442
南通,无锡,157.8652777777778
南通,泰州,232.48861111111108
南通,盐城,283.24194444444447
南通,苏州,734.2016666666665
南通,连云港,33.27861111111111
南阳,信阳,25.815833333333334
南阳,周口,3.4444444444444446
南阳,平顶山,59.275000000000006
南阳,洛阳,25.48055555555556
南阳,许昌,0.47638888888888886
南阳,郑州,73.58222222222219
南阳,驻马店,53.318611111111096
博尔塔拉蒙古,乌鲁木齐,3.992222222222221
博尔塔拉蒙古,伊犁哈萨克,8.859722222222222
博尔塔拉蒙古,双河,7.21138888888889
博尔塔拉蒙古,塔城,1.6399999999999997
博尔塔拉蒙古,昌吉回族,0.027222222222222217
厦门,三明,17.06944444444445
厦门,南平,6.667777777777778
厦门,宁德,5.452222222222223
厦门,泉州,691.4458333333333
厦门,漳州,756.8075000000001
厦门,福州,30.74444444444444
厦门,莆田,26.61666666666667
厦门,龙岩,33.157222222222224
双河,博尔塔拉蒙古,9.762222222222224
双鸭山,七台河,2.476111111111112
双鸭山,伊春,0.008611111111111113
双鸭山,佳木斯,22.676666666666666
双鸭山,哈尔滨,4.719722222222221
双鸭山,牡丹江,0.5413888888888889
双鸭山,绥化,0.46027777777777795
双鸭山,鸡西,3.6313888888888886
双鸭山,鹤岗,1.479722222222222
双鸭山,黑河,0.010833333333333334
双鸭山,齐齐哈尔,0.03222222222222222
可克达拉,伊犁哈萨克,12.256388888888893
台州,丽水,15.233888888888881
台州,嘉兴,20.909999999999997
台州,宁波,273.98888888888894
台州,杭州,116.99583333333334
台州,温州,203.00888888888886
台州,湖州,9.151111111111113
台州,绍兴,44.18416666666668
台州,舟山,7.035833333333333
台州,衢州,7.086388888888891
台州,金华,75.03444444444443
合肥,上海,22.509166666666662
合肥,亳州,48.14
合肥,六安,570.9227777777779
合肥,南京,18.384722222222223
合肥,安庆,286.41388888888883
合肥,宣城,27.13305555555555
合肥,宿州,44.23277777777777
合肥,杭州,16.179166666666667
合肥,池州,45.809722222222234
合肥,淮北,15.095000000000002
合肥,淮南,222.48472222222236
合肥,滁州,279.1416666666667
合肥,芜湖,227.50777777777782
合肥,苏州,17.998611111111114
合肥,蚌埠,77.81861111111108
合肥,铜陵,54.00583333333335
合肥,阜阳,95.21916666666674
合肥,马鞍山,91.41527777777779
合肥,黄山,17.007222222222225
吉安,上饶,5.945000000000003
吉安,九江,13.715000000000005
吉安,南昌,49.696388888888876
吉安,宜春,53.10749999999999
吉安,抚州,21.980277777777776
吉安,新余,25.133611111111115
吉安,景德镇,0.205
吉安,萍乡,16.886944444444442
吉安,赣州,91.03472222222226
吉安,鹰潭,2.1547222222222224
吉林,四平,4.997222222222221
吉林,延边朝鲜族,11.79555555555556
吉林,松原,3.2777777777777786
吉林,白城,1.0244444444444443
吉林,白山,3.8066666666666675
吉林,辽源,3.701944444444445
吉林,通化,10.330555555555552
吉林,长春,86.40749999999998
吐鲁番,乌鲁木齐,36.18111111111111
吐鲁番,伊犁哈萨克,1.8194444444444442
吐鲁番,和田,0.45111111111111113
吐鲁番,哈密,10.529166666666669
吐鲁番,喀什,3.5824999999999996
吐鲁番,巴音郭楞蒙古,12.597777777777774
吐鲁番,昌吉回族,5.463611111111112
吐鲁番,石河子,0.05583333333333333
吐鲁番,阿克苏,6.972499999999999
吕梁,临汾,20.178888888888885
吕梁,大同,1.8441666666666663
吕梁,太原,137.50722222222223
吕梁,忻州,12.92833333333333
吕梁,晋中,95.9852777777778
吕梁,晋城,1.815833333333333
吕梁,朔州,2.235
吕梁,运城,4.709444444444448
吕梁,长治,7.21611111111111
吕梁,阳泉,3.3274999999999992
吴忠,中卫,58.12250000000002
吴忠,固原,17.67972222222222
吴忠,石嘴山,9.931944444444444
吴忠,银川,144.15916666666664
周口,信阳,25.066666666666666
周口,南阳,5.1466666666666665
周口,商丘,102.01361111111112
周口,平顶山,12.492777777777777
周口,开封,55.53638888888889
周口,新乡,0.6722222222222222
周口,洛阳,8.364722222222222
周口,漯河,63.800000000000026
周口,许昌,55.63027777777778
周口,郑州,220.823888888889
周口,驻马店,86.35999999999999
呼伦贝尔,乌兰察布,0.0013888888888888892
呼伦贝尔,兴安盟,6.856666666666665
呼伦贝尔,呼和浩特,0.22500000000000003
呼伦贝尔,赤峰,0.6816666666666666
呼伦贝尔,通辽,1.124722222222222
呼伦贝尔,鄂尔多斯,0.010000000000000002
呼伦贝尔,锡林郭勒盟,0.40277777777777785
呼和浩特,乌兰察布,67.45861111111111
呼和浩特,乌海,2.3786111111111112
呼和浩特,兴安盟,0.586111111111111
呼和浩特,包头,55.77083333333333
呼和浩特,呼伦贝尔,0.3055555555555557
呼和浩特,巴彦淖尔,11.37305555555556
呼和浩特,赤峰,2.8288888888888897
呼和浩特,通辽,1.281111111111111
呼和浩特,鄂尔多斯,44.425555555555555
呼和浩特,锡林郭勒盟,5.603055555555556
呼和浩特,阿拉善盟,0.9188888888888888
和田,乌鲁木齐,0.5236111111111112
和田,喀什,6.620555555555557
和田,巴音郭楞蒙古,4.420833333333333
和田,昆玉,2.144166666666667
和田,阿克苏,2.3130555555555556
和田,阿拉尔,0.018055555555555557
咸宁,孝感,8.735277777777782
咸宁,恩施土家族苗族,0.6052777777777778
咸宁,武汉,141.35833333333326
咸宁,荆州,13.548055555555555
咸宁,黄冈,11.872777777777783
咸宁,黄石,28.250000000000004
咸阳,商洛,18.320555555555554
咸阳,安康,8.191666666666666
咸阳,宝鸡,98.87027777777779
咸阳,延安,21.849722222222233
咸阳,榆林,14.295000000000003
咸阳,汉中,10.433888888888895
咸阳,渭南,81.56583333333336
咸阳,西安,2744.4677777777765
咸阳,铜川,38.79
哈密,乌鲁木齐,24.072222222222234
哈密,伊犁哈萨克,1.5925000000000005
哈密,吐鲁番,10.095833333333331
