transport,traffic,roads,railway,poi,places,landuse,building,city_code,city,longitude,latitude
33.0,139.0,14913.0,300.0,326,530.0,1907,9211.0,321300,宿迁市,118.5201908,33.78423854
34.0,256.0,23353.0,150.0,191,121.0,1864,17464.0,321200,泰州市,120.0563571,32.57097365
208.0,361.0,36899.0,655.0,2767,150.0,1912,19488.0,320200,无锡市,120.0756925,31.52400065
130.0,85.0,8600.0,995.0,201,66.0,923,2660.0,320300,徐州市,117.5174133,34.35531783
56.0,64.0,12214.0,197.0,22,94.0,747,7159.0,320900,盐城市,120.1948612,33.51415001
41.0,147.0,16684.0,103.0,89,98.0,1803,22632.0,321000,扬州市,119.474472,32.73729539
151.0,279.0,11530.0,868.0,489,281.0,1126,57899.0,321100,镇江市,119.4529224,32.01570779
21.0,62.0,4586.0,453.0,213,527.0,630,171.0,361000,抚州市,116.4341292,27.51015051
140.0,114.0,17922.0,817.0,280,2634.0,2654,3681.0,360700,赣州市,115.2730355,25.7088547
51.0,41.0,5401.0,576.0,229,794.0,231,499.0,360800,吉安市,114.8246394,26.97340935
27.0,25.0,5690.0,208.0,205,229.0,94,141.0,360200,景德镇市,117.2699557,29.30728248
74.0,322.0,7083.0,632.0,426,530.0,2330,4896.0,360400,九江市,115.4517472,29.32196637
2541.0,145.0,19964.0,1485.0,1723,4804.0,6069,12767.0,360100,南昌市,116.0185878,28.64979404
11.0,4.0,1402.0,140.0,56,117.0,40,84.0,360300,萍乡市,113.9027421,27.51265333
160.0,253.0,20135.0,1150.0,575,5812.0,1323,3104.0,361100,上饶市,117.4721679,28.77294759
17.0,6.0,1099.0,180.0,11,74.0,119,183.0,360500,新余市,114.852229,27.84531515
38.0,24.0,4749.0,326.0,122,708.0,979,166.0,360900,宜春市,114.9725719,28.30613949
19.0,46.0,5190.0,269.0,68,152.0,108,1240.0,360600,鹰潭市,117.1074392,28.22465069
34.0,44.0,5195.0,312.0,29,193.0,482,1335.0,210300,鞍山市,123.0126017,40.71323795
54.0,8.0,2306.0,1184.0,45,303.0,151,139.0,210500,本溪市,124.56838,41.22883231
33.0,15.0,2288.0,484.0,37,243.0,169,85.0,211300,朝阳市,120.0144171,41.51088259
334.0,192.0,16097.0,1755.0,632,796.0,1660,26341.0,210200,大连市,122.1919051,39.58477196
51.0,69.0,3603.0,577.0,56,235.0,251,578.0,210600,丹东市,124.3973917,40.54000529
9.0,27.0,2359.0,119.0,54,350.0,93,236.0,210400,抚顺市,124.6558999,41.83380977
16.0,23.0,1777.0,213.0,51,179.0,172,327.0,210900,阜新市,121.9551668,42.27925639
329.0,67.0,3635.0,431.0,129,265.0,352,439.0,211400,葫芦岛市,120.2048675,40.61720784
31.0,19.0,2210.0,428.0,119,184.0,256,328.0,210700,锦州市,121.612428,41.45877975
10.0,29.0,1982.0,322.0,30,119.0,124,589.0,211000,辽阳市,123.2457009,41.18178354
6.0,21.0,1555.0,170.0,28,64.0,293,183.0,211100,盘锦市,121.9940316,41.06596229
236.0,166.0,12605.0,1931.0,578,340.0,995,3951.0,210100,沈阳市,123.1376608,42.09432213
15.0,37.0,3066.0,220.0,28,329.0,321,387.0,211200,铁岭市,124.1706602,42.64387946
9.0,31.0,1903.0,236.0,43,136.0,318,425.0,210800,营口市,122.4511902,40.38894659
41.0,108.0,5899.0,634.0,361,240.0,955,1987.0,152900,阿拉善盟,102.4489644,40.49706802
40.0,35.0,6118.0,655.0,90,152.0,498,598.0,150800,巴彦淖尔市,107.5697088,41.44571973
35.0,46.0,8203.0,1724.0,120,328.0,640,2840.0,150200,包头市,110.2604084,41.54929817
66.0,27.0,12719.0,605.0,147,509.0,1556,3704.0,150400,赤峰市,118.8709506,43.22042011
124.0,101.0,10615.0,1819.0,173,152.0,1042,3391.0,150600,鄂尔多斯市,108.6284617,39.41184161
92.0,66.0,8944.0,1072.0,436,214.0,798,2805.0,150100,呼和浩特市,111.4979894,40.59109042
112.0,94.0,13452.0,793.0,339,543.0,1288,11333.0,150700,呼伦贝尔市,121.196017,49.66148768
47.0,23.0,9578.0,282.0,32,228.0,601,1256.0,150500,通辽市,121.5699327,43.81587159
10.0,109.0,2608.0,413.0,135,39.0,780,1712.0,150300,乌海市,106.8697033,39.42534191
43.0,61.0,10964.0,778.0,403,471.0,836,2202.0,150900,乌兰察布市,112.4430445,41.68253941
55.0,73.0,6265.0,658.0,293,268.0,623,5029.0,152500,锡林郭勒盟,115.4835227,44.1929266
32.0,27.0,3875.0,229.0,63,334.0,352,403.0,152200,兴安盟,121.3364372,46.22525709
11.0,93.0,3845.0,147.0,27,336.0,396,261.0,640400,固原市,106.180721,35.91474713
8.0,29.0,1613.0,129.0,70,64.0,349,1757.0,640200,石嘴山市,106.5124476,39.00628937
20.0,38.0,6100.0,448.0,617,147.0,238,4377.0,640300,吴忠市,106.527135,37.46237905
91.0,42.0,5415.0,497.0,246,79.0,310,4254.0,640100,银川市,106.343573,38.28572327
58.0,41.0,2941.0,356.0,93,190.0,200,599.0,640500,中卫市,105.5013166,37.01284548
1.0,10.0,3018.0,1e-06,81,147.0,302,2205.0,632600,果洛藏族自治州,99.42016633,34.11641147
16.0,13.0,2130.0,276.0,86,83.0,520,411.0,632200,海北藏族自治州,100.3035137,37.75825597
13.0,75.0,4153.0,229.0,75,296.0,528,765.0,630200,海东市,102.3435064,36.33208032
3.0,61.0,2720.0,1e-06,105,229.0,385,1000.0,632500,海南藏族自治州,100.2567706,35.90029003
104.0,20.0,4907.0,1441.0,485,161.0,532,6634.0,632800,海西蒙古族藏族自治州,94.53120673,36.71257669
9.0,12.0,1590.0,1e-06,77,170.0,377,529.0,632300,黄南藏族自治州,101.6291753,35.02222884
105.0,33.0,4902.0,476.0,213,119.0,468,2162.0,630100,西宁市,101.4368998,36.82579654
15.0,4.0,5524.0,346.0,197,391.0,788,1790.0,632700,玉树藏族自治州,94.32138256,34.21110429
15.0,28.0,5241.0,182.0,27,103.0,856,367.0,371600,滨州市,117.8411749,37.53939145
20.0,27.0,7304.0,488.0,12,96.0,605,510.0,371400,德州市,116.6472134,37.24829922
14.0,39.0,5406.0,219.0,40,39.0,408,1376.0,370500,东营市,118.6350224,37.63988761
75.0,136.0,8033.0,255.0,267,303.0,1653,2802.0,371700,菏泽市,115.6927151,35.15104507
1235.0,547.0,26509.0,1820.0,1050,1715.0,4272,8868.0,370100,济南市,117.2154615,36.63697278
131.0,70.0,9330.0,665.0,113,1036.0,2430,571.0,370800,济宁市,116.7355628,35.36937488
9.0,33.0,8781.0,328.0,52,771.0,1275,2655.0,371500,聊城市,115.88137,36.45840727
123.0,383.0,33746.0,1270.0,246,1741.0,9263,6229.0,371300,临沂市,118.280571,35.30939882
416.0,285.0,29624.0,1959.0,1230,1581.0,4996,10035.0,370200,青岛市,120.1461911,36.44715886
5.0,92.0,4169.0,642.0,39,66.0,487,2950.0,371100,日照市,119.1412102,35.57786064
249.0,111.0,9828.0,554.0,438,1091.0,3987,1503.0,370900,泰安市,117.0251512,36.00172708
352.0,535.0,12474.0,204.0,355,259.0,1436,30723.0,371000,威海市,121.9956902,37.11742886
320.0,494.0,24530.0,1154.0,771,875.0,10023,8453.0,370700,潍坊市,119.0725905,36.55151791
58.0,227.0,9946.0,718.0,136,222.0,564,4834.0,370600,烟台市,120.7998224,37.24464008
107.0,175.0,9904.0,326.0,74,3058.0,1933,805.0,370400,枣庄市,117.3928067,34.91610433
27.0,37.0,4785.0,603.0,66,107.0,316,356.0,370300,淄博市,118.0532572,36.60786112
84.0,117.0,7784.0,695.0,1017,963.0,1469,2273.0,140200,大同市,113.7192757,39.90042929
20.0,62.0,8436.0,449.0,46,434.0,1099,1315.0,140500,晋城市,112.706737,35.61051272
61.0,84.0,12158.0,1268.0,223,807.0,2503,4884.0,140700,晋中市,112.9621265,37.32670067
35.0,45.0,7290.0,610.0,32,582.0,553,188.0,141000,临汾市,111.3766745,36.22673115
47.0,57.0,7665.0,1153.0,49,373.0,703,268.0,141100,吕梁市,111.2626578,37.67870361
17.0,59.0,5563.0,453.0,911,898.0,688,691.0,140600,朔州市,112.641554,39.61686303
